Codi,Nom,Codi Província
051316,Mirueña de los Infanzones,05
051321,Mombeltrán,05
051337,Monsalupe,05
051342,Moraleja de Matacabras,05
051355,Muñana,05
051368,Muñico,05
051380,Muñogalindo,05
051393,Muñogrande,05
051407,Muñomer del Peco,05
051414,Muñopepe,05
051429,Muñosancho,05
051435,Muñotello,05
051440,Narrillos del Álamo,05
051453,Narrillos del Rebollar,05
051472,Narros del Castillo,05
051488,Narros del Puerto,05
051491,Narros de Saldueña,05
051511,Navacepedilla de Corneja,05
051526,Nava de Arévalo,05
051532,Nava del Barco,05
051547,Navadijos,05
051550,Navaescurial,05
051563,Navahondilla,05
051579,Navalacruz,05
051585,Navalmoral,05
051598,Navalonguilla,05
051602,Navalosa,05
051619,Navalperal de Pinares,05
051624,Navalperal de Tormes,05
051630,Navaluenga,05
051645,Navaquesera,05
051658,Navarredonda de Gredos,05
051661,Navarredondilla,05
051677,Navarrevisca,05
051683,"Navas del Marqués, Las",05
051696,Navatalgordo,05
051700,Navatejares,05
051717,Neila de San Miguel,05
051722,Niharra,05
051738,Ojos-Albos,05
051743,Orbita,05
051756,"Oso, El",05
051769,Padiernos,05
051775,Pajares de Adaja,05
051781,Palacios de Goda,05
051794,Papatrigo,05
051808,"Parral, El",05
051815,Pascualcobo,05
051820,Pedro Bernardo,05
051836,Pedro-Rodríguez,05
051841,Peguerinos,05
051854,Peñalba de Ávila,05
051867,Piedrahíta,05
051873,Piedralaves,05
051889,Poveda,05
051892,Poyales del Hoyo,05
051906,Pozanco,05
051913,Pradosegar,05
051928,Puerto Castilla,05
051934,Rasueros,05
051949,Riocabado,05
051952,Riofrío,05
051965,Rivilla de Barajas,05
051971,Salobral,05
051987,Salvadiós,05
051990,San Bartolomé de Béjar,05
052004,San Bartolomé de Corneja,05
052011,San Bartolomé de Pinares,05
052047,Sanchidrián,05
052050,Sanchorreja,05
052063,San Esteban de los Patos,05
052079,San Esteban del Valle,05
052085,San Esteban de Zapardiel,05
052098,San García de Ingelmos,05
052102,San Juan de la Encinilla,05
052119,San Juan de la Nava,05
052124,San Juan del Molinillo,05
052130,San Juan del Olmo,05
052145,San Lorenzo de Tormes,05
052158,San Martín de la Vega del Alberche,05
052161,San Martín del Pimpollar,05
052177,San Miguel de Corneja,05
052183,San Miguel de Serrezuela,05
052196,San Pascual,05
052200,San Pedro del Arroyo,05
052217,Santa Cruz del Valle,05
052222,Santa Cruz de Pinares,05
052243,Santa María del Arroyo,05
052256,Santa María del Berrocal,05
052269,Santa María de los Caballeros,05
052275,Santa María del Tiétar,05
052281,Santiago del Collado,05
052294,Santo Domingo de las Posadas,05
052308,Santo Tomé de Zabarcos,05
052315,San Vicente de Arévalo,05
052320,"Serrada, La",05
052336,Serranillos,05
052341,Sigeres,05
052354,Sinlabajos,05
052367,Solana de Ávila,05
052373,Solana de Rioalmar,05
052389,Solosancho,05
052392,Sotalbo,05
052406,Sotillo de la Adrada,05
052413,"Tiemblo, El",05
052428,Tiñosillos,05
052434,Tolbaños,05
052449,Tormellas,05
052452,Tornadizos de Ávila,05
052465,Tórtoles,05
052471,"Torre, La",05
052490,Umbrías,05
052510,Vadillo de la Sierra,05
052525,Valdecasa,05
052531,Vega de Santa María,05
052546,Velayos,05
052562,Villaflor,05
052578,Villafranca de la Sierra,05
052584,Villanueva de Gómez,05
052597,Villanueva del Aceral,05
052601,Villanueva del Campillo,05
052618,Villar de Corneja,05
052623,Villarejo del Valle,05
052639,Villatoro,05
052644,Viñegra de Moraña,05
052657,Vita,05
052660,Zapardiel de la Cañada,05
052676,Zapardiel de la Ribera,05
059014,San Juan de Gredos,05
059029,Santa María del Cubillo,05
059035,Diego del Carpio,05
059040,Santiago del Tormes,05
059053,Villanueva de Ávila,05
060016,Acedera,06
060021,Aceuchal,06
060037,Ahillones,06
060042,Alange,06
060055,"Albuera, La",06
060068,Alburquerque,06
060074,Alconchel,06
060080,Alconera,06
060093,Aljucén,06
060107,Almendral,06
060114,Almendralejo,06
060129,Arroyo de San Serván,06
060135,Atalaya,06
060140,Azuaga,06
060153,Badajoz,06
060166,Barcarrota,06
060172,Baterno,06
060188,Benquerencia de la Serena,06
060191,Berlanga,06
060205,Bienvenida,06
060212,Bodonal de la Sierra,06
060227,Burguillos del Cerro,06
060233,Cabeza del Buey,06
060248,Cabeza la Vaca,06
060251,Calamonte,06
060264,Calera de León,06
060270,Calzadilla de los Barros,06
060286,Campanario,06
060299,Campillo de Llerena,06
060303,Capilla,06
060310,Carmonita,06
060325,"Carrascalejo, El",06
060331,Casas de Don Pedro,06
060346,Casas de Reina,06
060359,Castilblanco,06
060362,Castuera,06
060378,"Codosera, La",06
060384,Cordobilla de Lácara,06
060397,"Coronada, La",06
060401,Corte de Peleas,06
060418,Cristina,06
060423,Cheles,06
060439,Don Álvaro,06
060444,Don Benito,06
060457,Entrín Bajo,06
060460,Esparragalejo,06
060476,Esparragosa de la Serena,06
060482,Esparragosa de Lares,06
060495,Feria,06
060508,Fregenal de la Sierra,06
060515,Fuenlabrada de los Montes,06
060520,Fuente de Cantos,06
060536,Fuente del Arco,06
060541,Fuente del Maestre,06
060554,Fuentes de León,06
060567,Garbayuela,06
060573,Garlitos,06
060589,"Garrovilla, La",06
060592,Granja de Torrehermosa,06
060606,Guareña,06
060613,"Haba, La",06
060628,Helechosa de los Montes,06
060634,Herrera del Duque,06
060649,Higuera de la Serena,06
060652,Higuera de Llerena,06
060665,Higuera de Vargas,06
060671,Higuera la Real,06
060687,Hinojosa del Valle,06
060690,Hornachos,06
060704,Jerez de los Caballeros,06
060711,"Lapa, La",06
060726,Lobón,06
060732,Llera,06
060747,Llerena,06
060750,Magacela,06
060763,Maguilla,06
060779,Malcocinado,06
060785,Malpartida de la Serena,06
060798,Manchita,06
060802,Medellín,06
060819,Medina de las Torres,06
060824,Mengabril,06
060830,Mérida,06
060845,Mirandilla,06
060858,Monesterio,06
060861,Montemolín,06
060877,Monterrubio de la Serena,06
060883,Montijo,06
060896,"Morera, La",06
060900,"Nava de Santiago, La",06
060917,Navalvillar de Pela,06
060922,Nogales,06
060938,Oliva de la Frontera,06
060943,Oliva de Mérida,06
060956,Olivenza,06
060969,Orellana de la Sierra,06
060975,Orellana la Vieja,06
060981,Palomas,06
060994,"Parra, La",06
061008,Peñalsordo,06
061015,Peraleda del Zaucejo,06
061020,Puebla de Alcocer,06
061036,Puebla de la Calzada,06
061041,Puebla de la Reina,06
061054,Puebla del Maestre,06
061067,Puebla del Prior,06
061073,Puebla de Obando,06
061089,Puebla de Sancho Pérez,06
061092,Quintana de la Serena,06
061106,Reina,06
061113,Rena,06
061128,Retamal de Llerena,06
061134,Ribera del Fresno,06
061149,Risco,06
061152,"Roca de la Sierra, La",06
061165,Salvaleón,06
061171,Salvatierra de los Barros,06
061187,Sancti-Spíritus,06
061190,San Pedro de Mérida,06
061204,Santa Amalia,06
061211,Santa Marta,06
061226,"Santos de Maimona, Los",06
061232,San Vicente de Alcántara,06
061247,Segura de León,06
061250,Siruela,06
061263,Solana de los Barros,06
061279,Talarrubias,06
061285,Talavera la Real,06
061298,Táliga,06
061302,Tamurejo,06
061319,Torre de Miguel Sesmero,06
061324,Torremayor,06
061330,Torremejía,06
061345,Trasierra,06
061358,Trujillanos,06
061361,Usagre,06
061377,Valdecaballeros,06
061383,Valdetorres,06
061396,Valencia de las Torres,06
061400,Valencia del Mombuey,06
061417,Valencia del Ventoso,06
061422,Valverde de Burguillos,06
061438,Valverde de Leganés,06
061443,Valverde de Llerena,06
061456,Valverde de Mérida,06
061469,Valle de la Serena,06
061475,Valle de Matamoros,06
061481,Valle de Santa Ana,06
061494,Villafranca de los Barros,06
061507,Villagarcía de la Torre,06
061514,Villagonzalo,06
061529,Villalba de los Barros,06
061535,Villanueva de la Serena,06
061540,Villanueva del Fresno,06
061553,Villar del Rey,06
061566,Villar de Rena,06
061572,Villarta de los Montes,06
061588,Zafra,06
061591,Zahínos,06
061605,Zalamea de la Serena,06
061612,Zarza-Capilla,06
061627,"Zarza, La",06
069017,Valdelacalzada,06
069022,Pueblonuevo del Guadiana,06
069038,Guadiana,06
070012,Alaró,07
070027,Alaior,07
070033,Alcúdia,07
070048,Algaida,07
070051,Andratx,07
070064,Artà,07
070070,Banyalbufar,07
070086,Binissalem,07
070099,Búger,07
070103,Bunyola,07
070110,Calvià,07
070125,Campanet,07
070131,Campos,07
070146,Capdepera,07
070159,Ciutadella de Menorca,07
070162,Consell,07
070178,Costitx,07
070184,Deià,07
070197,Escorca,07
070201,Esporles,07
070218,Estellencs,07
070223,Felanitx,07
070239,Ferreries,07
070244,Formentera,07
070257,Fornalutx,07
070260,Eivissa,07
070276,Inca,07
070282,Lloret de Vistalegre,07
070295,Lloseta,07
070309,Llubí,07
070316,Llucmajor,07
070321,Maó,07
070337,Manacor,07
070342,Mancor de la Vall,07
070355,Maria de la Salut,07
070368,Marratxí,07
070374,"Mercadal, es",07
070380,Montuïri,07
070393,Muro,07
070407,Palma,07
070414,Petra,07
070429,Pollença,07
070435,Porreres,07
070440,"Pobla, sa",07
070453,Puigpunyent,07
070466,Sant Antoni de Portmany,07
070472,Sencelles,07
070488,Sant Josep de sa Talaia,07
070491,Sant Joan,07
070504,Sant Joan de Labritja,07
070511,Sant Llorenç des Cardassar,07
070526,Sant Lluís,07
070532,Santa Eugènia,07
070547,Santa Eulària des Riu,07
070550,Santa Margalida,07
070563,Santa María del Camí,07
070579,Santanyí,07
070585,Selva,07
070598,"Salines, ses",07
070602,Sineu,07
070619,Sóller,07
070624,Son Servera,07
070630,Valldemossa,07
070645,"Castell, es",07
070658,Vilafranca de Bonany,07
079013,Ariany,07
079028,"Migjorn Gran, es",07
080018,Abrera,08
080023,Aguilar de Segarra,08
080039,Alella,08
080044,Alpens,08
080057,"Ametlla del Vallès, l'",08
080060,Arenys de Mar,08
080076,Arenys de Munt,08
080082,Argençola,08
080095,Argentona,08
080109,Artés,08
080116,Avià,08
080121,Avinyó,08
080137,Avinyonet del Penedès,08
080142,Aiguafreda,08
080155,Badalona,08
080168,Bagà,08
080174,Balenyà,08
080180,Balsareny,08
080193,Barcelona,08
080207,Begues,08
080214,Bellprat,08
080229,Berga,08
080235,Bigues i Riells del Fai,08
080240,Borredà,08
080253,"Bruc, el",08
080266,"Brull, el",08
080272,"Cabanyes, les",08
080288,Cabrera d'Anoia,08
080291,Cabrera de Mar,08
080305,Cabrils,08
080312,Calaf,08
080327,Caldes d'Estrac,08
080333,Caldes de Montbui,08
080348,Calders,08
080351,Calella,08
080364,Calonge de Segarra,08
080370,Calldetenes,08
080386,Callús,08
080399,Campins,08
080403,Canet de Mar,08
080410,Canovelles,08
080425,Cànoves i Samalús,08
080431,Canyelles,08
080446,Capellades,08
080459,Capolat,08
080462,Cardedeu,08
080478,Cardona,08
080484,Carme,08
080497,Casserres,08
080500,Castellar del Riu,08
080517,Castellar del Vallès,08
080522,Castellar de n'Hug,08
080538,Castellbell i el Vilar,08
080543,Castellbisbal,08
080556,Castellcir,08
080569,Castelldefels,08
080575,Castell de l'Areny,08
080581,Castellet i la Gornal,08
080594,Castellfollit del Boix,08
080608,Castellfollit de Riubregós,08
080615,Castellgalí,08
080620,Castellnou de Bages,08
080636,Castellolí,08
080641,Castellterçol,08
080654,Castellví de la Marca,08
080667,Castellví de Rosanes,08
080673,Centelles,08
080689,Cervelló,08
080692,Collbató,08
080706,Collsuspina,08
080713,Copons,08
080728,Corbera de Llobregat,08
080734,Cornellà de Llobregat,08
080749,Cubelles,08
080752,Dosrius,08
080765,Esparreguera,08
080771,Esplugues de Llobregat,08
080787,"Espunyola, l'",08
080790,"Estany, l'",08
080804,Fígols,08
080811,Fogars de Montclús,08
080826,Fogars de la Selva,08
080832,Folgueroles,08
080847,Fonollosa,08
080850,Font-rubí,08
080863,"Franqueses del Vallès, les",08
080879,Gallifa,08
080885,"Garriga, la",08
080898,Gavà,08
080902,Gaià,08
080919,Gelida,08
080924,Gironella,08
080930,Gisclareny,08
080945,"Granada, la",08
080958,Granera,08
080961,Granollers,08
080977,Gualba,08
080983,Sant Salvador de Guardiola,08
080996,Guardiola de Berguedà,08
081000,Gurb,08
081017,"Hospitalet de Llobregat, l'",08
081022,Igualada,08
081038,Jorba,08
081043,"Llacuna, la",08
081056,"Llagosta, la",08
081069,Llinars del Vallès,08
081075,Lliçà d'Amunt,08
081081,Lliçà de Vall,08
081094,Lluçà,08
081108,Malgrat de Mar,08
081115,Malla,08
081120,Manlleu,08
081136,Manresa,08
081141,Martorell,08
081154,Martorelles,08
081167,"Masies de Roda, les",08
081173,"Masies de Voltregà, les",08
081189,"Masnou, el",08
081192,Masquefa,08
081206,Matadepera,08
081213,Mataró,08
081228,Mediona,08
081234,Molins de Rei,08
081249,Mollet del Vallès,08
081252,Montcada i Reixac,08
081265,Montgat,08
081271,Monistrol de Montserrat,08
081287,Monistrol de Calders,08
081290,Muntanyola,08
081304,Montclar,08
081311,Montesquiu,08
081326,Montmajor,08
081332,Montmaneu,08
081347,Figaró-Montmany,08
081350,Montmeló,08
081363,Montornès del Vallès,08
081379,Montseny,08
081385,Moià,08
081398,Mura,08
081402,Navarcles,08
081419,Navàs,08
081424,"Nou de Berguedà, la",08
081430,Òdena,08
081445,Olvan,08
081458,Olèrdola,08
081461,Olesa de Bonesvalls,08
081477,Olesa de Montserrat,08
081483,Olivella,08
081496,Olost,08
081509,Orís,08
081516,Oristà,08
081521,Orpí,08
081537,Òrrius,08
081542,Pacs del Penedès,08
081555,Palafolls,08
081568,Palau-solità i Plegamans,08
081574,Pallejà,08
081580,"Papiol, el",08
081593,Parets del Vallès,08
081607,Perafita,08
081614,Piera,08
081629,"Hostalets de Pierola, els",08
081635,Pineda de Mar,08
081640,"Pla del Penedès, el",08
081653,"Pobla de Claramunt, la",08
081666,"Pobla de Lillet, la",08
081672,Polinyà,08
081688,Pontons,08
081691,"Prat de Llobregat, el",08
081705,"Prats de Rei, els",08
081712,Prats de Lluçanès,08
081727,Premià de Mar,08
081748,Puigdàlber,08
081751,Puig-reig,08
081764,Pujalt,08
081770,"Quar, la",08
081786,Rajadell,08
081799,Rellinars,08
081803,Ripollet,08
081810,"Roca del Vallès, la",08
081825,"Pont de Vilomara i Rocafort, el",08
081831,Roda de Ter,08
081846,Rubí,08
081859,Rubió,08
081878,Sabadell,08
081884,Sagàs,08
081897,Sant Pere Sallavinera,08
081901,Saldes,08
081918,Sallent,08
081923,Santpedor,08
081939,Sant Iscle de Vallalta,08
081944,Sant Adrià de Besòs,08
081957,Sant Agustí de Lluçanès,08
081960,Sant Andreu de la Barca,08
081976,Sant Andreu de Llavaneres,08
081982,Sant Antoni de Vilamajor,08
081995,Sant Bartomeu del Grau,08
082009,Sant Boi de Llobregat,08
082016,Sant Boi de Lluçanès,08
082021,Sant Celoni,08
082037,Sant Cebrià de Vallalta,08
082042,Sant Climent de Llobregat,08
082055,Sant Cugat del Vallès,08
082068,Sant Cugat Sesgarrigues,08
082074,Sant Esteve de Palautordera,08
082080,Sant Esteve Sesrovires,08
082093,Sant Fost de Campsentelles,08
082107,Sant Feliu de Codines,08
082114,Sant Feliu de Llobregat,08
082129,Sant Feliu Sasserra,08
082135,Sant Fruitós de Bages,08
